City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Rain(inches),Snow(inches),Date
283,Melo,-32.37,-54.18,62.4,97,96,7.23,UY,moderate rain,1.05,0,2020-06-21 02:16:13
284,La Joya,18.67,-99.47,71.06,84,100,5.7,MX,heavy intensity rain,4.01,0,2020-06-21 02:16:14
285,Gushikawa,26.35,127.87,87.8,84,20,18.34,JP,few clouds,0.0,0,2020-06-21 02:16:14
286,Kapit,2.02,112.93,86.36,67,55,1.05,MY,broken clouds,0.0,0,2020-06-21 02:16:15
287,Caraquet,47.79,-64.94,53.6,87,20,2.24,CA,few clouds,0.0,0,2020-06-21 02:15:22
288,Mozarlandia,-14.74,-50.57,71.94,52,97,3.15,BR,overcast clouds,0.0,0,2020-06-21 02:16:15
289,Harper,4.38,-7.72,77.07,86,93,8.97,LR,light rain,0.25,0,2020-06-21 02:16:15
290,Zhob,31.34,69.45,80.44,35,0,6.85,PK,clear sky,0.0,0,2020-06-21 02:16:16
291,Arvin,35.21,-118.83,98.01,21,0,8.01,US,clear sky,0.0,0,2020-06-21 02:16:16
292,Sitka,57.05,-135.33,50.0,87,75,5.66,US,light rain,0.0,0,2020-06-21 02:12:31
293,Berbera,10.44,45.01,91.08,41,100,23.38,SO,overcast clouds,0.0,0,2020-06-21 02:16:16
294,Riyadh,24.69,46.72,84.2,30,73,3.6,SA,broken clouds,0.0,0,2020-06-21 02:16:17
295,Henties Bay,-22.12,14.28,59.0,45,17,5.57,NA,few clouds,0.0,0,2020-06-21 02:12:11
296,Southbridge,42.08,-72.03,73.0,84,32,3.0,US,moderate rain,1.14,0,2020-06-21 02:16:18
297,Santa Rosa,14.31,121.11,91.0,74,20,5.82,PH,few clouds,0.0,0,2020-06-21 02:16:18
298,Vardo,70.37,31.11,45.01,81,0,5.97,NO,clear sky,0.0,0,2020-06-21 02:16:18
299,Yerofey Pavlovich,53.97,121.97,59.77,83,21,8.14,RU,moderate rain,1.31,0,2020-06-21 02:16:19
300,Antalaha,-14.9,50.28,73.62,92,96,11.77,MG,moderate rain,1.11,0,2020-06-21 02:16:19
301,Luganville,-15.53,167.17,78.49,80,97,13.6,VU,light rain,0.24,0,2020-06-21 02:16:20
302,Taoudenni,22.68,-3.98,98.04,9,1,7.61,ML,clear sky,0.0,0,2020-06-21 02:16:20
303,Cockburn Town,21.46,-71.14,82.67,80,46,18.75,TC,scattered clouds,0.0,0,2020-06-21 02:16:20
304,Ca Mau,9.18,105.15,84.97,75,100,2.71,VN,moderate rain,1.28,0,2020-06-21 02:16:21
305,Kautokeino,69.01,23.04,56.19,63,0,9.93,NO,clear sky,0.0,0,2020-06-21 02:16:21
306,Padang,-0.95,100.35,84.34,60,99,0.31,ID,overcast clouds,0.0,0,2020-06-21 02:16:21
307,Georgetown,5.41,100.34,86.0,83,20,5.82,MY,few clouds,0.0,0,2020-06-21 02:16:21
308,Toktogul,41.87,72.94,67.6,42,0,0.45,KG,clear sky,0.0,0,2020-06-21 02:16:22
309,Turinsk,58.05,63.7,45.45,75,0,7.74,RU,clear sky,0.0,0,2020-06-21 02:16:22
